t,mag,stdev
56.0,-1.4062021502666102,0.28318726679780226
56.5,-1.4133920086410132,0.28593254028452314
57.0,-1.4195808698875823,0.2891015123484077
57.5,-1.4248098717390523,0.29267080262302564
58.0,-1.4291203880253267,0.29661557174015973
58.5,-1.4325538751720526,0.2932146091964674
59.0,-1.4332909436885242,0.2961923284448538
59.5,-1.430179072362332,0.29941922947478167
60.0,-1.4256614956648201,0.30287241679368365
60.5,-1.4207008562638226,0.3065295026389121
61.0,-1.4153282902082807,0.31036883110864283
61.5,-1.4095738069164434,0.31436965334500516
62.0,-1.4035694491016075,0.31851225785219023
62.5,-1.4035003547830645,0.32277806089896616
63.0,-1.4032220156018216,0.3271496623565973
63.5,-1.402756855783538,0.33161087235505815
64.0,-1.40212620844071,0.3361467139081318
64.5,-1.4013503245592358,0.3407434062541287
65.0,-1.4004483848019196,0.34538833315533296
65.5,-1.3994385138648107,0.3500699998534634
66.0,-1.398434633907887,0.35477798183321696
66.5,-1.4031623708545666,0.35950286802906367
67.0,-1.4085801033307233,0.36423620063545464
67.5,-1.4172573365984449,0.36897041326107377
68.0,-1.4258307442108649,0.3736987688023424
68.5,-1.4343004791374083,0.3784152981004774
69.0,-1.4426663443373164,0.38311474018604585
69.5,-1.450927820395152,0.38779248470065203
