db,TPM,LS,CI
cadence_drive_gl200v1.7_10yrs,0.12142342024316692,0.6684111672859013,0.9266025375814596
cadence_drive_gl30_gcbv1.7_10yrs,0.11516626821789332,0.7498231280694396,0.9378000320643995
cadence_drive_gl30v1.7_10yrs,0.11957508108069778,0.7639224198453248,0.9327244143452834
ddf_dither0.00_v1.7_10yrs,0.12057879049020806,0.7463874041058082,0.944422787099364
ddf_dither0.05_v1.7_10yrs,0.11953234633528757,0.7338419881350235,0.9447005637103087
ddf_dither0.10_v1.7_10yrs,0.12000832481291945,0.7286562468339882,0.9353154454700048
ddf_dither0.30_v1.7_10yrs,0.11875941687411268,0.7357655903685769,0.9280794846977892
ddf_dither0.70_v1.7_10yrs,0.11048578638551305,0.7523582656642294,0.9401159917741492
ddf_dither1.00_v1.7_10yrs,0.11882944724421365,0.7550845835698551,0.933638864565442
ddf_dither1.50_v1.7_10yrs,0.11885809975577248,0.7141502563183573,0.9387529596418772
ddf_dither2.00_v1.7_10yrs,0.10896491904803159,0.7508180199546791,0.9266164957087668
euclid_dither1_v1.7_10yrs,0.11048578638551305,0.7523582656642294,0.9401086553344556
euclid_dither2_v1.7_10yrs,0.12021232480323678,0.7775731461891097,0.9366304087914888
euclid_dither3_v1.7_10yrs,0.10868816942289368,0.7558106819421173,0.9376238276734608
euclid_dither4_v1.7_10yrs,0.12007906991966172,0.7432008024684241,0.9263010135758548
euclid_dither5_v1.7_10yrs,0.11760081580793379,0.7367484306846603,0.9316567689877924
footprint_0_v1.710yrs,0.11544790606059786,0.7973053223106937,0.8789363083198481
footprint_1_v1.710yrs,0.1305258045313369,0.7764200843670375,0.8910603816504659
footprint_2_v1.710yrs,0.1283291209879197,0.9821602350024209,0.90355692835938
footprint_3_v1.710yrs,0.11346166548591077,0.7930825670573584,0.8903610790508979
footprint_4_v1.710yrs,0.11685125507896431,0.786585303363791,0.8984870587702413
footprint_5_v1.710yrs,0.11346166548591077,0.7930825670573584,0.8903695671874986
footprint_6_v1.710yrs,0.11707087960613838,0.7810446616904549,0.8931726027872081
footprint_7_v1.710yrs,0.12314247145175662,0.7906629393764216,0.9050291395369751
footprint_8_v1.710yrs,0.14485317005317244,0.8266351063822589,0.9223255291391546
pair_times_11_v1.7_10yrs,0.11872478319656113,0.7489085461925319,0.8997706269283037
pair_times_22_v1.7_10yrs,0.11048578638551305,0.7523582656642294,0.9401110272925112
pair_times_33_v1.7_10yrs,0.12589459297906327,0.7418985824665124,0.9556862569305244
pair_times_44_v1.7_10yrs,0.1338304583707523,0.7512267467012419,0.95907255835757
pair_times_55_v1.7_10yrs,0.15342340379952518,0.8000301864797958,0.960251127853956
rolling_nm_scale0.2_nslice2_v1.7_10yrs,0.1089102546435774,0.78752942041753,0.9314259615064332
rolling_nm_scale0.2_nslice3_v1.7_10yrs,0.10743995880775475,0.7538399392136301,0.9323731192888453
rolling_nm_scale0.4_nslice2_v1.7_10yrs,0.10697399862027067,0.7381059164749045,0.9337256941942796
rolling_nm_scale0.4_nslice3_v1.7_10yrs,0.107144995830783,0.7449611310879458,0.9326983854379456
rolling_nm_scale0.6_nslice2_v1.7_10yrs,0.10732053996680532,0.8023153957012421,0.9311289991917722
rolling_nm_scale0.6_nslice3_v1.7_10yrs,0.1074601396981014,0.7355198150735633,0.9360685761330092
rolling_nm_scale0.8_nslice2_v1.7_10yrs,0.10816603350438199,0.8653877502261617,0.9229142947940366
rolling_nm_scale0.8_nslice3_v1.7_10yrs,0.10778667413937212,0.7699409998251869,0.9286614732006716
rolling_nm_scale0.9_nslice2_v1.7_10yrs,0.10833535025208296,0.7456204579304387,0.9327542527750172
rolling_nm_scale0.9_nslice3_v1.7_10yrs,0.10747184600611592,0.7893544036437213,0.9239608498649868
rolling_nm_scale1.0_nslice2_v1.7_10yrs,0.10825915856946984,0.7715371336983626,0.9311093662903278
rolling_nm_scale1.0_nslice3_v1.7_10yrs,0.1090835238062096,0.7718590960825451,0.9434808166733236
rolling_scale0.2_nslice2_v1.7_10yrs,0.11122912285990866,1.0,0.944756784574758
rolling_scale0.2_nslice3_v1.7_10yrs,0.11076269760251277,0.751123119936859,0.9365311393136486
rolling_scale0.4_nslice2_v1.7_10yrs,0.10907696381148406,0.7655458680592944,0.9533316029475418
rolling_scale0.4_nslice3_v1.7_10yrs,0.11073062803285309,0.765773998246162,0.9560456952930309
rolling_scale0.6_nslice2_v1.7_10yrs,0.11062493596249239,0.7628777433366427,0.9431811796034598
rolling_scale0.6_nslice3_v1.7_10yrs,0.11164221444744561,0.7467242044885483,0.9393326094624552
rolling_scale0.8_nslice2_v1.7_10yrs,0.11107070006933384,0.7535319918441725,0.9388952695716544
rolling_scale0.8_nslice3_v1.7_10yrs,0.11009169597661,0.7653357185818639,0.9388093235009126
rolling_scale0.9_nslice2_v1.7_10yrs,0.10999832516291881,0.7494724046851642,0.9372327315316084
rolling_scale0.9_nslice3_v1.7_10yrs,0.11096633891764231,0.7822858227616608,0.9371373146901588
rolling_scale1.0_nslice2_v1.7_10yrs,0.11083358029766113,0.7643791003609134,0.9358769037235558
rolling_scale1.0_nslice3_v1.7_10yrs,0.11160233473336414,0.7526351706702948,0.946578806708832
twi_neo_pattern1_v1.7_10yrs,0.10013816507449104,0.7735912362089753,0.8498666739490826
twi_neo_pattern2_v1.7_10yrs,0.10826927116237994,0.7589298970900707,0.9019330445202896
twi_neo_pattern3_v1.7_10yrs,0.11820002688726922,0.7750381068768951,0.9053407557894984
twi_neo_pattern4_v1.7_10yrs,0.11114751402489628,0.7551610665044864,0.9240046764226092
twi_neo_pattern5_v1.7_10yrs,0.12878778293430548,0.7729460680339936,0.8981113267045725
twi_neo_pattern6_v1.7_10yrs,0.10831781396043065,0.730189259724105,0.9064880067454166
twi_neo_pattern7_v1.7_10yrs,0.1192352409109135,0.7466863299138459,0.9137670057180224
twi_pairs_mixed_repeat_v1.7_10yrs,0.09579888426902387,0.7752094704263611,0.942149461844747
twi_pairs_mixed_v1.7_10yrs,0.09341332260795908,0.7825028702934276,0.9516806345991686
twi_pairs_repeat_v1.7_10yrs,0.10092003075900884,0.794938529054399,0.9443062231892376
twi_pairs_v1.7_10yrs,0.0913265755775714,0.7914070673918749,0.9550208907309572
u_long_ms_30_v1.7_10yrs,0.11925044894897846,0.7340653488509893,0.974635110295574
u_long_ms_40_v1.7_10yrs,0.11543328412866542,0.7693043669642231,0.955745565568242
u_long_ms_50_v1.7_10yrs,0.11189510924310547,0.7861620866929387,0.9301836481002259
u_long_ms_60_v1.7_10yrs,0.11423719108155897,0.7687316025485189,0.9096244612676349
